iter	RMSE
0	11631.00861
1	11243.83755
2	10855.43901
3	10509.4556
4	10164.91688
5	9840.208557
6	9526.508212
7	9231.873958
8	8946.493143
9	8670.765094
10	8410.871559
11	8171.122394
12	7941.075846
13	7721.933813
14	7517.43168
15	7330.709203
16	7161.035278
17	6973.011806
18	6815.739115
19	6655.701648
20	6508.410302
21	6366.690546
22	6228.106566
23	6104.523033
24	5978.970145
25	5874.311369
26	5762.463028
27	5661.594686
28	5571.210664
29	5474.872485
30	5388.998907
31	5305.597646
32	5228.277557
33	5159.052483
34	5089.692043
35	5029.049718
36	4974.635062
37	4919.655623
38	4865.37686
39	4812.388187
40	4765.653883
41	4721.293029
42	4680.904532
43	4641.829869
44	4605.594102
45	4577.990233
46	4543.360567
47	4514.580225
48	4485.896761
49	4457.503888
50	4430.131068
51	4400.107061
52	4376.60726
53	4354.711444
54	4333.120868
55	4311.332967
56	4293.302915
57	4273.550591
58	4258.775375
59	4241.833193
60	4227.810412
61	4219.212834
62	4204.409846
63	4193.675549
64	4179.331892
65	4168.712125
66	4155.505581
67	4147.476429
68	4138.648227
69	4125.936014
70	4115.923583
71	4104.9732
72	4096.351277
73	4086.622361
74	4078.256372
75	4072.380657
76	4067.719195
77	4059.367469
78	4049.134451
79	4043.347346
80	4037.095168
81	4030.248838
82	4024.946377
83	4017.626598
84	4016.5639
85	4008.262037
86	4003.529788
87	3994.749293
88	3984.357243
89	3978.534383
90	3971.958074
91	3966.131635
92	3959.729559
93	3953.069785
94	3945.993193
95	3940.935458
96	3935.932105
97	3928.425019
98	3920.509472
99	3915.77614
100	3910.885149
101	3902.94354
102	3900.466461
103	3897.018591
104	3894.797796
105	3890.40077
106	3886.351624
107	3878.466027
108	3873.787058
109	3870.874891
110	3865.660015
111	3862.94028
112	3858.020635
113	3854.039245
114	3850.218041
115	3847.355597
116	3843.106865
117	3841.767367
118	3837.346752
119	3830.954459
120	3821.617799
121	3819.890799
122	3812.419751
123	3805.843617
124	3801.303521
125	3798.368168
126	3794.385799
127	3788.312533
128	3782.082746
129	3778.699654
130	3774.734853
131	3770.813418
132	3767.464902
133	3765.075227
134	3760.490004
135	3752.862021
136	3749.385046
137	3745.173858
138	3740.077352
139	3734.295128
140	3731.046377
141	3727.251298
142	3722.418889
143	3720.992628
144	3719.012377
145	3716.351241
146	3714.894896
147	3712.707759
148	3707.981242
149	3703.721222
150	3699.314531
151	3695.128382
152	3690.69239
153	3686.717779
154	3683.200411
155	3679.245694
156	3678.774804
157	3675.900849
158	3673.854067
159	3672.007482
160	3670.250719
161	3669.815207
162	3664.162673
163	3659.346325
164	3653.591537
165	3650.596669
166	3645.83316
167	3642.217713
168	3639.217723
169	3635.045554
170	3629.125128
171	3626.014436
172	3621.555005
173	3615.516629
174	3611.086109
175	3607.66861
176	3604.313893
177	3601.356521
178	3592.888063
179	3589.417383
180	3586.535394
181	3585.319709
182	3581.959274
183	3579.376907
184	3575.696962
185	3567.768046
186	3565.304418
187	3560.321532
188	3558.733664
189	3556.25162
190	3553.136705
191	3547.472088
192	3546.0501
193	3541.447604
194	3536.85529
195	3531.405008
196	3529.730992
197	3527.915006
198	3526.511461
199	3518.618862
200	3516.687276
201	3516.426179
202	3511.346333
203	3507.245178
204	3506.991614
205	3503.473431
206	3500.918818
207	3496.598768
208	3493.574317
209	3490.240074
210	3486.851782
211	3485.439824
212	3481.225689
213	3478.924242
214	3475.657121
215	3472.523553
216	3470.560328
217	3467.375076
218	3464.230866
219	3456.419847
220	3454.775047
221	3452.025445
222	3448.025579
223	3445.62392
224	3440.110997
225	3436.204232
226	3433.433167
227	3431.643425
228	3429.835501
229	3427.528673
230	3423.559486
231	3421.462098
232	3419.748687
233	3412.561099
234	3409.494263
235	3407.570769
236	3406.210429
237	3403.779166
238	3401.949407
239	3399.482393
240	3395.880562
241	3394.381349
242	3392.684698
243	3391.448659
244	3389.616345
245	3387.941007
246	3384.753128
247	3382.962975
248	3382.00901
249	3377.705952
250	3376.440965
251	3373.682531
252	3372.296425
253	3371.39179
254	3368.29747
255	3366.661828
256	3365.182736
257	3361.857098
258	3355.638769
259	3350.527955
260	3349.367327
261	3344.406944
262	3343.087265
263	3338.187592
264	3336.771869
265	3333.096425
266	3329.309501
267	3324.624376
268	3321.228822
269	3318.314078
270	3316.720345
271	3315.354234
272	3310.581875
273	3309.728741
274	3302.950734
275	3302.017349
276	3300.690459
277	3299.412931
278	3296.712933
279	3295.274021
280	3294.34459
281	3293.106655
282	3291.06751
283	3289.925017
284	3289.025785
285	3284.732581
286	3283.83626
287	3278.099927
288	3274.168558
289	3271.911426
290	3268.554474
291	3267.293209
292	3265.331581
293	3263.984218
294	3262.606623
295	3261.683308
296	3260.690912
297	3258.202763
298	3256.887503
299	3251.546728
300	3248.420281
301	3243.191169
302	3241.657503
303	3239.263507
304	3237.741562
305	3233.349256
306	3232.226797
307	3231.224164
308	3228.36815
309	3227.10268
310	3223.618079
311	3221.045443
312	3218.663009
313	3217.971509
314	3213.058238
315	3212.038679
316	3210.220819
317	3206.140741
318	3205.332767
319	3202.325219
320	3198.069751
321	3196.152235
322	3195.367255
323	3193.372103
324	3190.800013
325	3189.218648
326	3187.882437
327	3186.887502
328	3185.931921
329	3185.217187
330	3181.061177
331	3176.734176
332	3174.750423
333	3171.145656
334	3166.768838
335	3159.809045
336	3157.090262
337	3154.762409
338	3153.958874
339	3150.269175
340	3148.814688
341	3147.743462
342	3143.740809
343	3142.701307
344	3140.521229
345	3138.469135
346	3136.477126
347	3129.588263
348	3126.909462
349	3126.251437
350	3123.230778
351	3120.809306
352	3118.805935
353	3116.385707
354	3115.618216
355	3114.841649
356	3114.078453
357	3112.202037
358	3110.082358
359	3106.449533
360	3103.9146
361	3101.611691
362	3097.373975
363	3096.717127
364	3096.045743
365	3090.480649
366	3088.581921
367	3087.425884
368	3086.331007
369	3085.320286
370	3082.387393
371	3080.734345
372	3079.73233
373	3077.235824
374	3073.51383
375	3072.490221
376	3067.003757
377	3062.870077
378	3059.928121
379	3058.1276
380	3056.583135
381	3050.959315
382	3045.179225
383	3044.249255
384	3040.997992
385	3038.720345
386	3035.278214
387	3033.430069
388	3029.972364
389	3028.325629
390	3027.115178
391	3024.947271
392	3021.961501
393	3021.300144
394	3015.926853
395	3013.579922
396	3010.453349
397	3008.380925
398	3007.154251
399	3005.365504
400	3003.87419
401	3002.380387
402	3001.711369
403	2999.362615
404	2998.40862
405	2997.06805
406	2995.054101
407	2994.539141
408	2992.08615
409	2991.463576
410	2990.887994
411	2990.311066
412	2988.313563
413	2987.505743
414	2985.597301
415	2983.636459
416	2981.474084
417	2980.307352
418	2977.024817
419	2975.677182
420	2974.275903
421	2973.754418
422	2969.809644
423	2966.773091
424	2965.906172
425	2961.795094
426	2959.79758
427	2958.524374
428	2956.257447
429	2955.359532
430	2954.838592
431	2952.293216
432	2951.32075
433	2950.907237
434	2949.675888
435	2948.849216
436	2945.240928
437	2943.361414
438	2941.17588
439	2940.34539
440	2939.304107
441	2938.862411
442	2936.01871
443	2935.258545
444	2933.155084
445	2931.956423
446	2928.880667
447	2927.977096
448	2924.530031
449	2922.778848
450	2919.883391
451	2919.073541
452	2916.448004
453	2915.301569
454	2912.772336
455	2911.727683
456	2908.539368
457	2906.530459
458	2905.405523
459	2902.420123
460	2900.539188
461	2899.746115
462	2898.974838
463	2897.356996
464	2894.633471
465	2893.893681
466	2893.487206
467	2890.688663
468	2888.013501
469	2885.031706
470	2884.216687
471	2882.546753
472	2879.508493
473	2875.431161
474	2874.742661
475	2873.95001
476	2873.217391
477	2871.849903
478	2869.450217
479	2867.78875
480	2866.665946
481	2865.462931
482	2864.54843
483	2862.136003
484	2859.842247
485	2858.732266
486	2857.952437
487	2855.737469
488	2855.319223
489	2853.959701
490	2853.032459
491	2851.424999
492	2850.66338
493	2849.605481
494	2847.011972
495	2846.308486
496	2844.511448
497	2842.206792
498	2841.2068
499	2840.464263
500	2839.286932
501	2838.577357
502	2836.80659
503	2834.955032
504	2834.012038
505	2832.156621
506	2831.445762
507	2830.219049
508	2827.884153
509	2827.449326
510	2826.376419
511	2826.127675
512	2824.269457
513	2821.857233
514	2820.560756
515	2819.643074
516	2818.284015
517	2815.35653
518	2812.405021
519	2809.904644
520	2809.571873
521	2808.516394
522	2806.171291
523	2803.448469
524	2800.968234
525	2797.095051
526	2794.506079
527	2791.962508
528	2789.996763
529	2789.241897
530	2787.418818
531	2785.934223
532	2784.179311
533	2782.265189
534	2779.780335
535	2778.481288
536	2777.484362
537	2775.573336
538	2774.946667
539	2773.940603
540	2773.170929
541	2770.375945
542	2767.291821
543	2767.056331
544	2764.840875
545	2761.375712
546	2760.430407
547	2759.614413
548	2758.060512
549	2756.675215
550	2755.999549
551	2755.20157
552	2753.851857
553	2752.932904
554	2750.637124
555	2750.031717
556	2748.7443
