iter	Passed	Remaining
0	6	6143
1	10	5459
2	14	4945
3	19	4855
4	25	5071
5	28	4782
6	33	4685
7	36	4576
8	40	4495
9	42	4245
10	45	4132
11	50	4127
12	55	4232
13	58	4131
14	62	4074
15	95	5873
16	107	6193
17	146	8004
18	193	10001
19	196	9613
20	202	9451
21	205	9146
22	212	9030
23	301	12243
24	306	11942
25	307	11519
26	317	11433
27	321	11172
28	337	11297
29	340	11025
30	343	10740
31	387	11716
32	393	11524
33	400	11371
34	405	11178
35	410	10991
36	414	10794
37	418	10597
38	423	10434
39	502	12062
40	505	11815
41	509	11632
42	514	11445
43	518	11259
44	523	11101
45	525	10903
46	530	10748
47	535	10624
48	543	10546
49	548	10415
50	574	10686
51	581	10609
52	584	10447
53	587	10291
54	592	10174
55	640	10798
56	644	10668
57	647	10514
58	650	10380
59	655	10268
60	663	10209
61	667	10098
62	674	10036
63	682	9985
64	775	11155
65	780	11038
66	837	11660
67	843	11554
68	846	11421
69	850	11299
70	854	11181
71	891	11493
72	896	11388
73	909	11378
74	915	11286
75	919	11178
76	924	11076
77	928	10973
78	934	10891
79	938	10792
80	943	10706
81	947	10607
82	995	11002
83	1001	10920
84	1003	10798
85	1008	10722
86	1012	10621
87	1014	10517
88	1017	10415
89	1022	10341
90	1027	10259
91	1079	10650
92	1082	10556
93	1088	10488
94	1091	10393
95	1097	10331
96	1104	10279
97	1107	10195
98	1113	10138
99	1120	10083
100	1146	10205
101	1159	10207
102	1161	10117
103	1170	10082
104	1174	10010
105	1178	9942
106	1183	9880
107	1186	9796
108	1188	9711
109	1189	9626
110	1201	9619
111	1204	9549
112	1208	9483
113	1210	9408
114	1216	9360
115	1218	9284
116	1221	9216
117	1222	9139
118	1224	9064
119	1226	8993
120	1232	8951
121	1236	8896
122	1240	8844
123	1244	8790
124	1247	8735
125	1251	8681
126	1253	8616
127	1255	8552
128	1258	8495
129	1263	8455
130	1266	8402
131	1270	8353
132	1274	8306
133	1278	8263
134	1282	8215
135	1285	8165
136	1288	8116
137	1296	8096
138	1300	8052
139	1303	8009
140	1308	7971
141	1312	7928
142	1316	7888
143	1319	7842
144	1324	7808
145	1328	7770
146	1331	7729
147	1336	7691
148	1340	7657
149	1344	7620
150	1348	7580
151	1352	7546
152	1356	7507
153	1360	7471
154	1364	7436
155	1367	7399
156	1370	7359
157	1374	7323
158	1378	7289
159	1381	7255
160	1385	7217
161	1387	7176
162	1391	7143
163	1395	7111
164	1398	7077
165	1402	7044
166	1405	7011
167	1409	6980
168	1412	6946
169	1417	6921
170	1421	6891
171	1425	6861
172	1428	6827
173	1431	6797
174	1435	6767
175	1439	6738
176	1442	6708
177	1446	6678
178	1450	6650
179	1452	6617
180	1456	6590
181	1459	6561
182	1463	6531
183	1466	6504
184	1470	6477
185	1473	6447
186	1477	6425
187	1481	6396
188	1484	6369
189	1486	6337
190	1489	6306
191	1492	6278
192	1495	6253
193	1498	6225
194	1501	6200
195	1505	6177
196	1510	6155
197	1514	6133
198	1517	6108
199	1521	6086
200	1526	6066
201	1527	6033
202	1530	6010
203	1534	5988
204	1536	5959
205	1540	5937
206	1544	5915
207	1546	5889
208	1550	5867
209	1557	5859
210	1561	5840
211	1565	5818
212	1570	5801
213	1572	5777
214	1576	5757
215	1580	5736
216	1583	5713
217	1587	5695
218	1591	5675
219	1595	5655
220	1599	5636
221	1603	5619
222	1606	5598
223	1610	5577
224	1613	5557
225	1618	5542
226	1621	5521
227	1625	5503
228	1628	5483
229	1633	5467
230	1636	5449
231	1640	5430
232	1643	5410
233	1647	5393
234	1651	5376
235	1655	5359
236	1658	5338
237	1663	5325
238	1666	5307
239	1670	5289
240	1674	5272
241	1676	5251
242	1681	5237
243	1685	5220
244	1688	5203
245	1697	5201
246	1700	5184
247	1702	5163
248	1704	5142
249	1706	5120
250	1708	5098
251	1711	5079
252	1713	5060
253	1715	5038
254	1718	5019
255	1720	5001
256	1723	4981
257	1725	4963
258	1727	4943
259	1730	4925
260	1732	4906
261	1735	4887
262	1738	4872
263	1742	4858
264	1746	4843
265	1751	4832
266	1753	4814
267	1759	4806
268	1763	4792
269	1765	4774
270	1769	4759
271	1772	4744
272	1775	4726
273	1776	4707
274	1779	4690
275	1783	4677
276	1786	4661
277	1792	4655
278	1794	4637
279	1796	4619
280	1798	4600
281	1800	4585
282	1804	4571
283	1807	4555
284	1810	4542
285	1813	4526
286	1816	4512
287	1819	4498
288	1822	4484
289	1826	4472
290	1831	4462
291	1842	4468
292	1846	4455
293	1850	4443
294	1853	4429
295	1856	4415
296	1859	4401
297	1863	4389
